[Aircraft TimeStamp Latitude Longitude Speed]
[A, 01-Dec-2019 16:15:43, 37.787941, -72.228673, 500]
[B, 01-Dec-2019 16:15:43, 39.217994, -75.123735, 510]
[A, 01-Dec-2019 16:15:48, 46.398221, -63.395228, 500]
[B, 01-Dec-2019 16:15:48, 49.247137, -68.026568, 510]
[A, 01-Dec-2019 16:15:53, 55.008501, -54.561782, 500]
[B, 01-Dec-2019 16:15:53, 59.276280, -60.929402, 510]
[A, 01-Dec-2019 16:15:58, 63.618781, -45.728337, 500]
[B, 01-Dec-2019 16:15:58, 69.305423, -53.832235, 510]
[A, 01-Dec-2019 16:16:03, 72.229061, -36.894891, 500]
[B, 01-Dec-2019 16:16:03, 79.334566, -46.735068, 510]
[A, 01-Dec-2019 16:16:08, 80.839341, -28.061446, 500]
[B, 01-Dec-2019 16:16:08, 89.363709, -39.637901, 510]
[A, 01-Dec-2019 16:16:13, 89.449621, -19.228000, 500]
[B, 01-Dec-2019 16:16:13, 99.392851, -32.540734, 510]
[A, 01-Dec-2019 16:16:18, 98.059901, -10.394555, 500]
[B, 01-Dec-2019 16:16:18, 109.421994, -25.443568, 510]
[A, 01-Dec-2019 16:16:23, 106.670182, -1.561109, 500]
[B, 01-Dec-2019 16:16:23, 119.451137, -18.346401, 510]
[A, 01-Dec-2019 16:16:28, 115.280462, 7.272337, 500]
[B, 01-Dec-2019 16:16:28, 129.480280, -11.249234, 510]
[A, 01-Dec-2019 16:16:33, 123.890742, 16.105782, 500]
[B, 01-Dec-2019 16:16:33, 139.509423, -4.152067, 510]
[A, 01-Dec-2019 16:16:38, 132.501022, 24.939228, 500]
[B, 01-Dec-2019 16:16:38, 149.538566, 2.945100, 510]
[A, 01-Dec-2019 16:16:43, 141.111302, 33.772673, 500]
[B, 01-Dec-2019 16:16:43, 159.567709, 10.042266, 510]
[A, 01-Dec-2019 16:16:48, 149.721582, 42.606119, 500]
[B, 01-Dec-2019 16:16:48, 169.596852, 17.139433, 510]
[A, 01-Dec-2019 16:16:53, 158.331862, 51.439564, 500]
[B, 01-Dec-2019 16:16:53, 179.625995, 24.236600, 510]
[A, 01-Dec-2019 16:16:58, 166.942142, 60.273010, 500]
[B, 01-Dec-2019 16:16:58, 189.655138, 31.333767, 510]
[A, 01-Dec-2019 16:17:03, 175.552422, 69.106456, 500]
[B, 01-Dec-2019 16:17:03, 199.684281, 38.430933, 510]
[A, 01-Dec-2019 16:17:08, 184.162702, 77.939901, 500]
[B, 01-Dec-2019 16:17:08, 209.713424, 45.528100, 510]
[A, 01-Dec-2019 16:17:13, 192.772982, 86.773347, 500]
[B, 01-Dec-2019 16:17:13, 219.742566, 52.625267, 510]
[A, 01-Dec-2019 16:17:18, 201.383262, 95.606792, 500]
[B, 01-Dec-2019 16:17:18, 229.771709, 59.722434, 510]
[A, 01-Dec-2019 16:17:23, 209.993542, 104.440238, 500]
[B, 01-Dec-2019 16:17:23, 239.800852, 66.819601, 510]
[A, 01-Dec-2019 16:17:28, 218.603822, 113.273683, 500]
[B, 01-Dec-2019 16:17:28, 249.829995, 73.916767, 510]
[A, 01-Dec-2019 16:17:33, 227.214102, 122.107129, 500]
[B, 01-Dec-2019 16:17:33, 259.859138, 81.013934, 510]
[A, 01-Dec-2019 16:17:38, 235.824382, 130.940574, 500]
[B, 01-Dec-2019 16:17:38, 269.888281, 88.111101, 510]
[A, 01-Dec-2019 16:17:43, 244.434663, 139.774020, 500]
[B, 01-Dec-2019 16:17:43, 279.917424, 95.208268, 510]
[A, 01-Dec-2019 16:17:48, 253.044943, 148.607466, 500]
[B, 01-Dec-2019 16:17:48, 289.946567, 102.305435, 510]
[A, 01-Dec-2019 16:17:53, 261.655223, 157.440911, 500]
[B, 01-Dec-2019 16:17:53, 299.975710, 109.402601, 510]
[A, 01-Dec-2019 16:17:58, 270.265503, 166.274357, 500]
[B, 01-Dec-2019 16:17:58, 310.004853, 116.499768, 510]
[A, 01-Dec-2019 16:18:03, 278.875783, 175.107802, 500]
[B, 01-Dec-2019 16:18:03, 320.033996, 123.596935, 510]
[A, 01-Dec-2019 16:18:08, 287.486063, 183.941248, 500]
[B, 01-Dec-2019 16:18:08, 330.063139, 130.694102, 510]
[A, 01-Dec-2019 16:18:13, 296.096343, 192.774693, 500]
[B, 01-Dec-2019 16:18:13, 340.092282, 137.791269, 510]
[A, 01-Dec-2019 16:18:18, 304.706623, 201.608139, 500]
[B, 01-Dec-2019 16:18:18, 350.121424, 144.888435, 510]
[A, 01-Dec-2019 16:18:23, 313.316903, 210.441584, 500]
[B, 01-Dec-2019 16:18:23, 360.150567, 151.985602, 510]
[A, 01-Dec-2019 16:18:28, 321.927183, 219.275030, 500]
[B, 01-Dec-2019 16:18:28, 370.179710, 159.082769, 510]
[A, 01-Dec-2019 16:18:33, 330.537463, 228.108476, 500]
[B, 01-Dec-2019 16:18:33, 380.208853, 166.179936, 510]
[A, 01-Dec-2019 16:18:38, 339.147743, 236.941921, 500]
[B, 01-Dec-2019 16:18:38, 390.237996, 173.277103, 510]
[A, 01-Dec-2019 16:18:43, 347.758023, 245.775367, 500]
[B, 01-Dec-2019 16:18:43, 400.267139, 180.374269, 510]
[A, 01-Dec-2019 16:18:48, 356.368303, 254.608812, 500]
[B, 01-Dec-2019 16:18:48, 410.296282, 187.471436, 510]
[A, 01-Dec-2019 16:18:53, 364.978583, 263.442258, 500]
[B, 01-Dec-2019 16:18:53, 420.325425, 194.568603, 510]
